question,answer
tell me what is angkor thom for me.,it was the last capital city of the khmer empire
i want to know where is koh ker right now.,it is a pyramid temple north of siem reap
briefly explain is beng mealea far right now.,it is about 60km east of siem reap city
tell me can i visit preah khan for me.,yes preah khan is a large monastic complex in angkor
please tell me how do i get to angkor wat?,"you can take a tuk tuk, car, or bicycle from siem reap city"
hi is angkor wat open today thank you.,angkor wat is open daily from 5 am to 5:30 pm
any idea where where is phnom penh thanks.,phnom penh is the capital city of cambodia
hi what to see in phnom penh today.,visit the royal palace and the national museum
teach me about where is the royal palace for me.,it is located along the riverside in phnom penh
can you explain what is the silver pagoda?,it is a temple in the royal palace with a silver floor
where are the killing fields immediately.,choeung ek is about 15 kilometers from phnom penh
do you know what is s21 prison immediately.,tuol sleng is a former prison museum in phnom penh
info on where is wat phnom today.,it is a hilltop temple that gives the capital its name
tell me best place for shopping in phnom penh thank you.,central market and russian market are the best
i am curious about where is the riverside right now.,it is the sisowath quay area along the tonle sap river
please tell me how to get around phnom penh please.,passapp or grab for tuk tuks is the easiest way
search for is phnom penh safe at night if you can.,it is generally safe but watch your belongings
can you explain where is the independence monument today.,it is at the intersection of norodom and sihanouk boulevards
please tell me where are the best beaches for me.,koh rong and koh rong samloem have the best beaches
hey how to get to koh rong right now.,you can take a speed ferry from sihanoukville
find what to do in kampot,visit pepper farms and take a river cruise
any idea where where is bokor mountain please.,it is a cool hill station near kampot city
search for is kep famous for food,yes kep is famous for fresh blue crab with pepper
what about what is rabbit island if you can.,koh tonsay is a quiet island near kep
where is otres beach today.,it is a quieter beach area in sihanoukville
give me details on is sihanoukville good for islands for me.,yes it is the main gateway to koh rong and koh rong samloem
hey what is kampot pepper if you can.,it is world famous high quality pepper from cambodia
give me details on can i swim in sihanoukville specifically.,"yes, victory beach and sokha beach are popular spots"
what about where can i see dolphins for me.,you can see freshwater dolphins in kratie
find what to do in mondulkiri thank you.,visit elephant sanctuaries and busra waterfall
is mondulkiri cold immediately.,it is much cooler than the rest of cambodia
looking for where is yeak laom lake thanks.,it is a volcanic lake in rattanakiri province
looking for what to see in kratie for me.,the irrawaddy dolphins and kampi rapids
info on where is preah vihear temple if you can.,it is on a cliff in the north near the thai border
could you explain what is battambang known for?,it is famous for the bamboo train and caves
any idea where where is the killing caves?,they are located on phnom sampeau in battambang
hey can i see bats in battambang thanks.,yes millions of bats fly out of caves at sunset
briefly explain what is phnom chi?,it is a mountain for hiking in kampong thom
briefly explain where is kapi falls today.,it is a scenic spot in mondulkiri
what about best time to visit cambodia specifically.,november to february is the best time
i am curious about what currency is used thank you.,the currency is riel and us dollar
give me details on do people speak english today.,many people speak basic english in tourist areas
can you explain what food should i try specifically.,you should try amok and lok lak
give me details on is cambodia safe,it is generally safe for tourists
what about how to travel in cambodia for me.,you can use tuk tuk or taxi
do i need a visa immediately.,most tourists need a visa or an e-visa
do you know what is the water festival please.,bon om touk is a festival with boat racing
looking for when is khmer new year for me.,it is usually celebrated in mid-april
is the water safe to drink,it is better to drink bottled or filtered water
find how to say hello in khmer?,you say sarsday or chum reap suor
please tell me how to say thank you please.,you say orkun in khmer
hi is there grab in cambodia thanks.,yes grab and passapp are widely used
tell me what is the local beer today.,angkor beer and cambodia beer are popular
what about can i wear shorts in temples specifically.,you should cover your knees and shoulders
could you explain is cambodia expensive today.,it is very affordable for most travelers
